User ID;Gender;Age;EstimatedSalary;Purchased
1567823;Male;19;19000;0
1567839;Male;35;20000;0
1567293;Female;26;43000;0
1526378;Female;24;57000;0
1522178;Male;18;76000;0
1523790;Male;27;58000;0
1523783;Female;27;84000;0
1531542;Female;32;150000;1
1535253;Male;19;33000;0
1563142;Female;35;65000;0
1534255;Female;26;80000;0
1524323;Female;26;23000;1
1534244;Male;20;86000;0
1567823;Male;19;19000;1
1567839;Male;35;20000;1
1567293;Female;26;43000;0
1526378;Female;27;57000;0
1522178;Male;27;76000;0
1523790;Male;27;58000;0
1523783;Female;27;84000;0
1531542;Female;32;150000;1
1535253;Male;25;33000;0
1563142;Female;35;65000;0
1534255;Female;25;80000;1
1524323;Female;26;52000;0
1534244;Male;20;86000;0
1567823;Male;19;19000;0
1567839;Male;35;20000;0
1567293;Female;26;43000;0
1526378;Female;24;57000;0
1522178;Male;18;76000;0
1523790;Male;27;58000;0
1523783;Female;27;84000;1
1531542;Female;32;150000;1
1535253;Male;25;33000;0
1563142;Female;35;65000;1
1534255;Female;26;80000;0
1524323;Female;25;52000;0
1534244;Male;20;86000;0
1567823;Male;19;19000;0
1567839;Male;35;20000;0
1567293;Female;26;43000;1
1526378;Female;27;57000;0
1522178;Male;18;76000;0
1523790;Male;27;58000;0
1523783;Female;27;84000;0
1531542;Female;32;150000;1
1535253;Male;25;33000;0
1563142;Female;30;65000;0
1534255;Female;26;80000;0
1524323;Female;26;52000;0
1534244;Male;20;86000;0
1567823;Male;19;19000;1
1567839;Male;35;20000;1
1567293;Female;26;43000;0
1526378;Female;27;57000;0
1522178;Male;18;76000;1
1523790;Male;31;58000;1
1523783;Female;27;84000;0
1531542;Female;32;150000;1
1535253;Male;25;33000;0
1563142;Female;35;65000;0
1534255;Female;26;80000;0
1524323;Female;26;52000;0
1534244;Male;20;86000;0
1567823;Male;19;19000;1
1567839;Male;26;20000;0
1567293;Female;26;43000;0
1526378;Female;27;57000;1
1522178;Male;18;76000;0
1523790;Male;27;58000;0
1523783;Female;27;84000;0
1531542;Female;32;150000;1
1535253;Male;25;33000;0
1563142;Female;35;65000;0
1534255;Female;37;80000;0
1524323;Female;26;45000;0
1534244;Male;20;86000;0
1567823;Male;19;19000;1
1567839;Male;35;20000;0
1567293;Female;26;43000;0
1526378;Female;27;57000;0
1522178;Male;18;76000;0
1523790;Male;27;58000;0
1523783;Female;34;84000;1
1531542;Female;32;150000;1
1535253;Male;25;33000;0
1563142;Female;35;65000;0
1534255;Female;26;80000;0
1524323;Female;26;52000;0
1534244;Male;38;86000;0
1567823;Male;19;78000;1
1567839;Male;35;20000;0
1567293;Female;26;43000;0
1526378;Female;27;57000;0
1522178;Male;18;76000;0
1523790;Male;27;58000;0
1523783;Female;27;84000;1
1531542;Female;32;150000;1
1535253;Male;25;33000;0
1563142;Female;23;65000;0
1534255;Female;26;80000;0
1524323;Female;26;52000;0
1534244;Male;20;86000;0
1567823;Male;19;19000;0
1567839;Male;35;20000;0
1567293;Female;26;79000;1
1526378;Female;27;57000;0
1522178;Male;18;76000;0
1523790;Male;27;58000;0
1523783;Female;27;84000;0
1531542;Female;34;150000;1
1535253;Male;25;33000;1
1563142;Female;35;65000;0
1534255;Female;26;80000;0
1524323;Female;26;52000;1
1534244;Male;20;86000;0
1567823;Male;19;19000;0
1567839;Male;35;20000;0
1567293;Female;26;43000;0
1526378;Female;24;57000;0
1522178;Male;18;76000;1
1523790;Male;27;58000;0
1523783;Female;27;12000;1
1531542;Female;32;150000;1
1535253;Male;25;33000;0
1563142;Female;35;65000;0
1534255;Female;26;80000;1
1524323;Female;26;52000;0
1534244;Male;20;86000;0
1567823;Male;19;19000;0
1567839;Male;35;20000;0
1567293;Female;26;43000;0
1526378;Female;27;57000;0
1522178;Male;18;76000;0
1523790;Male;27;23000;0
1523783;Female;27;84000;0
1531542;Female;18;150000;1
1535253;Male;25;33000;0
1563142;Female;35;65000;1
1534255;Female;26;80000;0
1524323;Female;26;52000;0
1534244;Male;20;86000;1
1567823;Male;34;19000;0
1567839;Male;35;20000;0
1567293;Female;26;43000;0
1526378;Female;27;57000;0
1522178;Male;18;76000;0
1523790;Male;27;45000;1
1523783;Female;27;84000;0
1531542;Female;32;150000;1
1535253;Male;25;33000;0
1563142;Female;36;65000;0
1534255;Female;26;80000;0
1524323;Female;26;52000;1
1534244;Male;20;86000;0
1567823;Male;19;19000;0
1567839;Male;35;20000;0
1567293;Female;26;43000;0
1526378;Female;27;57000;0
1522178;Male;18;76000;1
1523790;Male;27;58000;0
1523783;Female;32;84000;0
1531542;Female;32;150000;1
1535253;Male;25;33000;0
1563142;Female;35;65000;0
1534255;Female;26;80000;1
1524323;Female;26;52000;0
1534244;Male;20;10000;0
1567823;Male;19;19000;0
1567839;Male;35;20000;0
1567293;Female;15;43000;0
1526378;Female;27;57000;0
1522178;Male;18;76000;0
1523790;Male;27;58000;0
1523783;Female;27;84000;1
1531542;Female;32;150000;1
1535253;Male;25;33000;0
1563142;Female;35;65000;0
1534255;Female;26;80000;0
1524323;Female;21;52000;0
1534244;Male;20;86000;1
1567823;Male;19;19000;0
1567839;Male;35;20000;0
1567293;Female;26;43000;1
1526378;Female;27;57000;0
1522178;Male;18;29000;0
1523790;Male;27;58000;0
1523783;Female;27;84000;0
1531542;Female;32;150000;1
1535253;Male;23;33000;1
1563142;Female;35;65000;0
1534255;Female;26;80000;0
1524323;Female;26;52000;0
1534244;Male;20;86000;0
1567823;Male;19;19000;0
1567839;Male;35;20000;0
1567293;Female;26;43000;0
1526378;Female;27;57000;1
1522178;Male;22;76000;0
1523790;Male;27;58000;1
1523783;Female;27;23000;0
1531542;Female;32;150000;1
1535253;Male;25;33000;0
1563142;Female;35;65000;0
1534255;Female;26;80000;1
1524323;Female;26;52000;0
1534244;Male;20;86000;0
1567823;Male;24;19000;1
1567839;Male;35;20000;0
1567293;Female;26;43000;0
1526378;Female;27;57000;0
1522178;Male;18;76000;0
1523790;Male;27;58000;0
1523783;Female;27;84000;1
1531542;Female;32;150000;1
1535253;Male;25;33000;0
1563142;Female;35;65000;0
1534255;Female;26;80000;0
1524323;Female;26;52000;0
1534244;Male;20;86000;1
1567823;Male;39;19000;0
1567839;Male;35;20000;0
1567293;Female;26;43000;0
1526378;Female;27;57000;0
1522178;Male;18;70000;0
1523790;Male;27;58000;1
1523783;Female;27;84000;0
1531542;Female;37;150000;1
1535253;Male;25;33000;0
1563142;Female;35;65000;0
1534255;Female;26;80000;0
1524323;Female;26;52000;0
1534244;Male;20;86000;0
1567823;Male;21;19000;0
1567839;Male;35;20000;0
1567293;Female;26;43000;0
1526378;Female;27;57000;0
1522178;Male;18;76000;1
1523790;Male;27;58000;0
1523783;Female;27;84000;0
1531542;Female;32;150000;1
1535253;Male;25;33000;1
1563142;Female;25;65000;0
1534255;Female;26;80000;0
1524323;Female;26;52000;0
1534244;Male;20;86000;1
1567823;Male;19;19000;0
1567839;Male;35;56000;1
